Nama Dokter,Rumah Sakit,Latitude,Longitude,Alamat,dokterRS
"dr. Ni Wayan Lena Agustini, M.Biomed, Sp.JP",Kasih Ibu Hospital Denpasar,-8.6776375,115.2053008,"Denpasar Barat, Kota Denpasar","dr. Ni Wayan Lena Agustini, M.Biomed, Sp.JP - Kasih Ibu Hospital Denpasar"
"dr. Gugun Iskandar Hadiyat, Sp.JP, FIHA, FAsCC",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Gugun Iskandar Hadiyat, Sp.JP, FIHA, FAsCC - RS Jantung Hasna Medika Cirebon"
"Dr. dr. Chaerul Achmad, Sp.JP (K), FIHA, FAsCC",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","Dr. dr. Chaerul Achmad, Sp.JP (K), FIHA, FAsCC - RS Jantung Hasna Medika Cirebon"
"dr. Yogi Puji Rachmawan, Sp.JP, FIHA",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Yogi Puji Rachmawan, Sp.JP, FIHA - RS Jantung Hasna Medika Cirebon"
"dr. I Ketut Raditya Surya, M. Biomed, Sp.JP, FIHA",RSU Surya Husadha Denpasar,-8.6228373,115.1992444,"Denpasar Barat, Kota Denpasar","dr. I Ketut Raditya Surya, M. Biomed, Sp.JP, FIHA - RSU Surya Husadha Denpasar"
"dr. Eko Saputra, M.Biomed, Sp.JP, FIHA",RS Grha Permata Ibu,-6.370701,106.8137352,"Beji, Kota Depok","dr. Eko Saputra, M.Biomed, Sp.JP, FIHA - RS Grha Permata Ibu"
"dr. Gede Angga Permana Astara Wangsa, Sp.JP, FIHA",Kasih Ibu Hospital Kedonganan,-8.760138,115.175943,"Kuta, Kabupaten Badung","dr. Gede Angga Permana Astara Wangsa, Sp.JP, FIHA - Kasih Ibu Hospital Kedonganan"
"dr. Adhi Kurniawan, Sp.JP",RS Permata Pamulang,-6.3440623,106.7190683,"Pamulang, Kota Tangerang Selatan","dr. Adhi Kurniawan, Sp.JP - RS Permata Pamulang"
"dr. I Putu Parwata Jaya, Sp.JP, FIHA",RSU Surya Husadha Denpasar,-8.6228373,115.1992444,"Denpasar Barat, Kota Denpasar","dr. I Putu Parwata Jaya, Sp.JP, FIHA - RSU Surya Husadha Denpasar"
"dr. Armand Ronald Ruhukail, Sp.JP, FIHA, FAsCC",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Armand Ronald Ruhukail, Sp.JP, FIHA, FAsCC - RS Jantung Hasna Medika Cirebon"
"dr. Pri Utomo, Sp.JP",RS Muhammadiyah Taman Puring,-6.2417177,106.7875121,"Kebayoran Baru, Kota Jakarta Selatan","dr. Pri Utomo, Sp.JP - RS Muhammadiyah Taman Puring"
"dr. Retna Dewayani, Sp.JP (K), FSCAI",RS Permata Pamulang,-6.3440623,106.7190683,"Pamulang, Kota Tangerang Selatan","dr. Retna Dewayani, Sp.JP (K), FSCAI - RS Permata Pamulang"
"dr. A.M Onny Witjaksono, Sp.JP, FIHA",RS St. Carolus,-6.1955107,106.8513711,"Senen, Kota Jakarta Pusat","dr. A.M Onny Witjaksono, Sp.JP, FIHA - RS St. Carolus"
"dr. Abdullah Zaini, Sp.JP (K), FIHA",RS Meilia,-6.3765351,106.9019758,"Cimanggis, Kota Depok","dr. Abdullah Zaini, Sp.JP (K), FIHA - RS Meilia"
"dr. Achmad Fauzi Yahya, Sp.JP",RS Santosa Bandung Central,-6.9154958,107.600376,"Andir, Kota Bandung","dr. Achmad Fauzi Yahya, Sp.JP - RS Santosa Bandung Central"
"dr. Addiena Primawati, Sp.JP, FIHA",RS Islam Jakarta Cempaka Putih,-6.1706772,106.8708824,"Cempaka Putih, Kota Jakarta Pusat","dr. Addiena Primawati, Sp.JP, FIHA - RS Islam Jakarta Cempaka Putih"
"dr. Andika Rizki Lubis, Sp.JP",RSUD Tarakan,-6.1716229,106.8102485,"Gambir, Kota Jakarta Pusat","dr. Andika Rizki Lubis, Sp.JP - RSUD Tarakan"
"dr. Andreas Sumargo, Sp.JP",Ciputra Hospital – Citra Raya Tangerang,-6.2493903,106.5215124,"Panongan, Kabupaten Tangerang","dr. Andreas Sumargo, Sp.JP - Ciputra Hospital – Citra Raya Tangerang"
"dr. Andria Priyana, Sp.JP",RS Royal Taruma,-6.1664004,106.7855103,"Grogol Petamburan, Kota Jakarta Barat","dr. Andria Priyana, Sp.JP - RS Royal Taruma"
"dr. Andriga Dirgantomo, Sp.JP, FIHA",RS Awal Bros Bekasi Barat,-6.2312623,106.9598493,"Bekasi Selatan, Kota Bekasi","dr. Andriga Dirgantomo, Sp.JP, FIHA - RS Awal Bros Bekasi Barat"
"dr. Anna Ulfah Rahajoe, Sp.JP(K), FIHA",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","dr. Anna Ulfah Rahajoe, Sp.JP(K), FIHA - RS Pusat Jantung Nasional Harapan Kita"
"dr. Anna Ulfah Rahayoe, Sp.JP (K), FIHA",RSU Bunda Margonda,-6.3654022,106.834655,"Beji, Kota Depok","dr. Anna Ulfah Rahayoe, Sp.JP (K), FIHA - RSU Bunda Margonda"
"dr. Antonia Anna Lukito, Sp.JP",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Antonia Anna Lukito, Sp.JP - Siloam Hospitals Lippo Village"
"dr. Antono Sutandar, Sp.JP",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Kota Jakarta Barat","dr. Antono Sutandar, Sp.JP - Siloam Hospitals Kebon Jeruk"
"dr. Anwar Fachrudin, Sp.JP",RS Haji Jakarta,-6.2898657,106.8891533,"Makasar, Kota Jakarta Timur","dr. Anwar Fachrudin, Sp.JP - RS Haji Jakarta"
"Dr. dr. Anwar Santoso, Sp.JP(K), FIHA, FASCC",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Dr. dr. Anwar Santoso, Sp.JP(K), FIHA, FASCC - RS Pusat Jantung Nasional Harapan Kita"
"dr. Aprivita Gayatri, Sp.JP, FIHA",RS Hermina Galaxy,-6.2688747,106.972146,"Bekasi Selatan, Kota Bekasi","dr. Aprivita Gayatri, Sp.JP, FIHA - RS Hermina Galaxy"
"dr. Ardian Jahja Saputra, Sp.JP",AIC Kuningan Medical Center,-6.9810102,108.4928912,"Setia Budi, Kota Jakarta Selatan","dr. Ardian Jahja Saputra, Sp.JP - AIC Kuningan Medical Center"
"dr. Ardianto Kusumajaya, Sp.JP",Ciputra Hospital - Citra Garden City,-6.1235382,106.7046958,"Kalideres, Kota Jakarta Barat","dr. Ardianto Kusumajaya, Sp.JP - Ciputra Hospital - Citra Garden City"
"dr. Ari Muharman, Sp.JP, FIHA",RS Dokter Adam Talib,-6.2708708,107.0918815,"Cikarang Barat, Kabupaten Bekasi","dr. Ari Muharman, Sp.JP, FIHA - RS Dokter Adam Talib"
"dr. Arief Fadhilah, Sp.JP",RSUD Pasar Minggu,-6.2940993,106.8198235,"Pasar Minggu, Kota Jakarta Selatan","dr. Arief Fadhilah, Sp.JP - RSUD Pasar Minggu"
"dr. Arieska Sutanto Sunarta, Sp.JP",RS Premier Jatinegara,-6.2216352,106.868675,"Jatinegara, Kota Jakarta Timur","dr. Arieska Sutanto Sunarta, Sp.JP - RS Premier Jatinegara"
"dr. Arif Mansjoer, Sp.PD, KKV, KIC, M.Epid",RSUPN Dr. Cipto Mangunkusumo,-5.9994441713550595,113.71551751063463,"Senen, Kota Jakarta Pusat","dr. Arif Mansjoer, Sp.PD, KKV, KIC, M.Epid - RSUPN Dr. Cipto Mangunkusumo"
"dr. Arief Wibisono, Sp.JP",RS Kanker Dharmais,-6.1868287,106.7979783,"Palmerah, Kota Jakarta Barat","dr. Arief Wibisono, Sp.JP - RS Kanker Dharmais"
"dr. Arina Prihestri Nugraheni, Sp.JP",RS Hermina MekarSari,-6.4060476,106.9768307,"Cileungsi, Kabupaten Bogor","dr. Arina Prihestri Nugraheni, Sp.JP - RS Hermina MekarSari"
"dr. Aron Husink, Sp.JP, FIHA",RS Mayapada Tangerang,-6.208927,106.6378228,"Tangerang, Kota Tangerang","dr. Aron Husink, Sp.JP, FIHA - RS Mayapada Tangerang"
"Dr. dr. Arto Yuwono Soeroto, Sp.PD-KP, FCCP, FINASIM",RS Advent Bandung,-6.8920765,107.6032797,"Coblong, Kota Bandung","Dr. dr. Arto Yuwono Soeroto, Sp.PD-KP, FCCP, FINASIM - RS Advent Bandung"
"dr. Aryo Soeryo, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","dr. Aryo Soeryo, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Asep Zezen Zaeni Dahlan, Sp.JP",RS Sari Asih Karawaci,-6.1793109,106.6262267,"Karawaci, Kota Tangerang","dr. Asep Zezen Zaeni Dahlan, Sp.JP - RS Sari Asih Karawaci"
"Prof. dr. Asikin Hanafiah, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Prof. dr. Asikin Hanafiah, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Asmoko Resta Permana, Sp.JP",RS Permata Bekasi,-6.2910163,107.0315025,"Mustika Jaya, Kota Bekasi","dr. Asmoko Resta Permana, Sp.JP - RS Permata Bekasi"
"dr. Atik Mufidah, Sp.JP",RS Islam Jakarta Pondok Kopi,-6.2200311,106.939603,"Duren Sawit, Kota Jakarta Timur","dr. Atik Mufidah, Sp.JP - RS Islam Jakarta Pondok Kopi"
"Dr. dr. Augustine Purnomowati, Sp.PD, Sp.JP(K)",RSUP Dr. Hasan Sadikin,-6.8981588,107.5983954,"Sukajadi, Kota Bandung","Dr. dr. Augustine Purnomowati, Sp.PD, Sp.JP(K) - RSUP Dr. Hasan Sadikin"
"dr. Aulia Sani, Sp.JP(K) FJCC, FIHA, FAsCC",RSU Sahid Sahirman,-6.209668,106.8183907,"Tanah Abang, Kota Jakarta Pusat","dr. Aulia Sani, Sp.JP(K) FJCC, FIHA, FAsCC - RSU Sahid Sahirman"
"dr. Ayuthia Putri Sedyawan, B.Med.Sc., Sp.JP, FIHA",Siloam Hospitals Asri Mampang,-6.254559,106.8323692,"Pancoran, Kota Jakarta Selatan","dr. Ayuthia Putri Sedyawan, B.Med.Sc., Sp.JP, FIHA - Siloam Hospitals Asri Mampang"
"dr. Azri Nurizal, Sp.PD-KKV",RS Hermina Depok,-6.3999115,106.825183,"Pancoran Mas, Kota Depok","dr. Azri Nurizal, Sp.PD-KKV - RS Hermina Depok"
"dr. Badai Bhatara Tiksnadi, Sp.JP",RS Advent Bandung,-6.8920765,107.6032797,"Coblong, Kota Bandung","dr. Badai Bhatara Tiksnadi, Sp.JP - RS Advent Bandung"
"dr. Bajra Nadha, Sp.JP",RS Mediros,-6.1798747,106.9037209,"Pulo Gadung, Kota Jakarta Timur","dr. Bajra Nadha, Sp.JP - RS Mediros"
"Prof. dr. Bambang Budi Siswanto, MD, PhD, FIHA, FASCC, FAPSC, FACC, FSCAI",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Prof. dr. Bambang Budi Siswanto, MD, PhD, FIHA, FASCC, FAPSC, FACC, FSCAI - RS Pusat Jantung Nasional Harapan Kita"
"dr. Bambang Dwiputra, Sp.JP",RS Hermina Depok,-6.3999115,106.825183,"Pancoran Mas, Kota Depok","dr. Bambang Dwiputra, Sp.JP - RS Hermina Depok"
"dr. Bambang Widyantoro, Ph.D, Sp.JP",RS Hermina Depok,-6.3999115,106.825183,"Pancoran Mas, Kota Depok","dr. Bambang Widyantoro, Ph.D, Sp.JP - RS Hermina Depok"
"dr. Barita Sabu Sitompul, Sp.JP",RS Islam Jakarta Cempaka Putih,-6.1706772,106.8708824,"Cempaka Putih, Kota Jakarta Pusat","dr. Barita Sabu Sitompul, Sp.JP - RS Islam Jakarta Cempaka Putih"
"Dr. dr. Basuni Radi, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Dr. dr. Basuni Radi, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Beny Hartono, Sp. JP, FIHA",RS Pondok Indah Bintaro Jaya,-6.2720255,106.6972482,"Pondok Aren, Kota Tangerang Selatan","dr. Beny Hartono, Sp. JP, FIHA - RS Pondok Indah Bintaro Jaya"
"dr. Berlian Idriansyah Idris, Sp.JP (K), FIHA, MPH, DSc",RS Medika BSD,-6.2838699,106.66736,"Serpong, Kota Tangerang Selatan","dr. Berlian Idriansyah Idris, Sp.JP (K), FIHA, MPH, DSc - RS Medika BSD"
"dr. Betriza, Sp.JP",RS Antam Medika,-6.1927555,106.9027031,"Pulo Gadung, Kota Jakarta Timur","dr. Betriza, Sp.JP - RS Antam Medika"
"Dr. dr. Arto Yuwono Soeroto, Sp.PD-KP, FCCP, FINASIM",RS Advent Bandung,-6.8920765,107.6032797,"Coblong, Kota Bandung","Dr. dr. Arto Yuwono Soeroto, Sp.PD-KP, FCCP, FINASIM - RS Advent Bandung"
"dr. Aryo Soeryo, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","dr. Aryo Soeryo, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Asep Zezen Zaeni Dahlan, Sp.JP",RS Sari Asih Karawaci,-6.1793109,106.6262267,"Karawaci, Kota Tangerang","dr. Asep Zezen Zaeni Dahlan, Sp.JP - RS Sari Asih Karawaci"
"Prof. dr. Asikin Hanafiah, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Prof. dr. Asikin Hanafiah, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Asmoko Resta Permana, Sp.JP",RS Permata Bekasi,-6.2910163,107.0315025,"Mustika Jaya, Kota Bekasi","dr. Asmoko Resta Permana, Sp.JP - RS Permata Bekasi"
"dr. Atik Mufidah, Sp.JP",RS Islam Jakarta Pondok Kopi,-6.2200311,106.939603,"Duren Sawit, Kota Jakarta Timur","dr. Atik Mufidah, Sp.JP - RS Islam Jakarta Pondok Kopi"
"Dr. dr. Augustine Purnomowati, Sp.PD, Sp.JP(K)",RSUP Dr. Hasan Sadikin,-6.8981588,107.5983954,"Sukajadi, Kota Bandung","Dr. dr. Augustine Purnomowati, Sp.PD, Sp.JP(K) - RSUP Dr. Hasan Sadikin"
"dr. Aulia Sani, Sp.JP(K) FJCC, FIHA, FAsCC",RSU Sahid Sahirman,-6.209668,106.8183907,"Tanah Abang, Kota Jakarta Pusat","dr. Aulia Sani, Sp.JP(K) FJCC, FIHA, FAsCC - RSU Sahid Sahirman"
"dr. Ayuthia Putri Sedyawan, B.Med.Sc., Sp.JP, FIHA",Siloam Hospitals Asri Mampang,-6.254559,106.8323692,"Pancoran, Kota Jakarta Selatan","dr. Ayuthia Putri Sedyawan, B.Med.Sc., Sp.JP, FIHA - Siloam Hospitals Asri Mampang"
"dr. Azri Nurizal, Sp.PD-KKV",RS Hermina Depok,-6.3999115,106.825183,"Pancoran Mas, Kota Depok","dr. Azri Nurizal, Sp.PD-KKV - RS Hermina Depok"
"dr. Badai Bhatara Tiksnadi, Sp.JP",RS Advent Bandung,-6.8920765,107.6032797,"Coblong, Kota Bandung","dr. Badai Bhatara Tiksnadi, Sp.JP - RS Advent Bandung"
"dr. Bajra Nadha, Sp.JP",RS Mediros,-6.1798747,106.9037209,"Pulo Gadung, Kota Jakarta Timur","dr. Bajra Nadha, Sp.JP - RS Mediros"
"Prof. dr. Bambang Budi Siswanto, MD, PhD, FIHA, FASCC, FAPSC, FACC, FSCAI",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Prof. dr. Bambang Budi Siswanto, MD, PhD, FIHA, FASCC, FAPSC, FACC, FSCAI - RS Pusat Jantung Nasional Harapan Kita"
"dr. Bambang Dwiputra, Sp.JP",RS Hermina Depok,-6.3999115,106.825183,"Pancoran Mas, Kota Depok","dr. Bambang Dwiputra, Sp.JP - RS Hermina Depok"
"dr. Bambang Widyantoro, Ph.D, Sp.JP",RS Hermina Depok,-6.3999115,106.825183,"Pancoran Mas, Kota Depok","dr. Bambang Widyantoro, Ph.D, Sp.JP - RS Hermina Depok"
"dr. Barita Sabu Sitompul, Sp.JP",RS Islam Jakarta Cempaka Putih,-6.1706772,106.8708824,"Cempaka Putih, Kota Jakarta Pusat","dr. Barita Sabu Sitompul, Sp.JP - RS Islam Jakarta Cempaka Putih"
"Dr. dr. Basuni Radi, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Dr. dr. Basuni Radi, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Beny Hartono, Sp. JP, FIHA",RS Pondok Indah Bintaro Jaya,-6.2720255,106.6972482,"Pondok Aren, Kota Tangerang Selatan","dr. Beny Hartono, Sp. JP, FIHA - RS Pondok Indah Bintaro Jaya"
"dr. Berlian Idriansyah Idris, Sp.JP (K), FIHA, MPH, DSc",RS Medika BSD,-6.2838699,106.66736,"Serpong, Kota Tangerang Selatan","dr. Berlian Idriansyah Idris, Sp.JP (K), FIHA, MPH, DSc - RS Medika BSD"
"dr. Betriza, Sp.JP",RS Antam Medika,-6.1927555,106.9027031,"Pulo Gadung, Kota Jakarta Timur","dr. Betriza, Sp.JP - RS Antam Medika"
"Prof. dr. Daulat Manurung, Sp.PD-KKV",Bidakara Medical Center,-6.2401902,106.8416217,"Tebet, Kota Jakarta Selatan","Prof. dr. Daulat Manurung, Sp.PD-KKV - Bidakara Medical Center"
"dr. David Dwi Ariwibowo, Sp.JP",RSUD Cengkareng,-6.1430301,106.7347798,"Cengkareng, Kota Jakarta Barat","dr. David Dwi Ariwibowo, Sp.JP - RSUD Cengkareng"
"dr. David Lucman, Sp.JP",RS Pondok Indah - Pondok Indah,-6.2835829,106.781621,"Kebayoran Lama, Kota Jakarta Selatan","dr. David Lucman, Sp.JP - RS Pondok Indah - Pondok Indah"
"Prof. dr. Dede Kusmana, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","Prof. dr. Dede Kusmana, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Dede Moeswir, Sp.PD-KKV, FINASIM",Omni Hospitals Pulomas,-5.9994441713550595,113.71551751063463,"Pulo Gadung, Kota Jakarta Timur","dr. Dede Moeswir, Sp.PD-KKV, FINASIM - Omni Hospitals Pulomas"
"dr. Dedi Wihanda, Sp.PD-KKV",RS Permata Cibubur,-6.3760007,106.9119587,"Jati Sampurna, Kota Bekasi","dr. Dedi Wihanda, Sp.PD-KKV - RS Permata Cibubur"
"Dr. dr. Denio Adrianus Ridjab, Sp.JP(K) FESC",RS Pantai Indah Kapuk,-6.1117801,106.75295,"Penjaringan, Kota Jakarta Utara","Dr. dr. Denio Adrianus Ridjab, Sp.JP(K) FESC - RS Pantai Indah Kapuk"
"dr. Dewi Maria Ulfa, Sp.JP",RS Bhayangkara Tk. I R. Said Sukanto,-6.2700337,106.8707884,"Kramat Jati, Kota Jakarta Timur","dr. Dewi Maria Ulfa, Sp.JP - RS Bhayangkara Tk. I R. Said Sukanto"
"dr. Diah Retno Widowati, Sp.JP",RSUP Fatmawati,-6.2951597,106.7961402,"Cilandak, Kota Jakarta Selatan","dr. Diah Retno Widowati, Sp.JP - RSUP Fatmawati"
"dr. Dian Larasati Munawar, Sp.JP",RS Jantung Bina Waluya,-6.2002568,106.8553287,"Ciracas, Kota Jakarta Timur","dr. Dian Larasati Munawar, Sp.JP - RS Jantung Bina Waluya"
"dr. Dian Yaniarti Hasanah, Sp.JP, FIHA",RS Meilia,-6.3765351,106.9019758,"Cimanggis, Kota Depok","dr. Dian Yaniarti Hasanah, Sp.JP, FIHA - RS Meilia"
"dr. Dian Zamroni, Sp.JP, FIHA",RS Bhayangkara Tk. I R. Said Sukanto,-6.2700337,106.8707884,"Kramat Jati, Kota Jakarta Timur","dr. Dian Zamroni, Sp.JP, FIHA - RS Bhayangkara Tk. I R. Said Sukanto"
"dr. Dicky Armein Hanafy, Sp.JP(K), FIHA",RSIA Bunda Jakarta,-6.1959219,106.836738,"Menteng, Kota Jakarta Pusat","dr. Dicky Armein Hanafy, Sp.JP(K), FIHA - RSIA Bunda Jakarta"
"dr. Didi Agus Mintadi, Sp.JP",RS Bhayangkara Tk. I R. Said Sukanto,-6.2700337,106.8707884,"Kramat Jati, Kota Jakarta Timur","dr. Didi Agus Mintadi, Sp.JP - RS Bhayangkara Tk. I R. Said Sukanto"
"dr. Didi Kurniadhi, Sp.PD-KKV, FINASIM, FICA",RS Jantung Jakarta,-6.2002568,106.8553287,"Matraman, Kota Jakarta Timur","dr. Didi Kurniadhi, Sp.PD-KKV, FINASIM, FICA - RS Jantung Jakarta"
"dr. Dina Oktavia, Sp.PD-KKV",RSPI Prof.Dr. Sulianti Saroso,-6.130282,106.8619887,"Tanjung Priok, Kota Jakarta Utara","dr. Dina Oktavia, Sp.PD-KKV - RSPI Prof.Dr. Sulianti Saroso"
"dr. Dirk Amidi, Sp.JP",International SOS Medika Klinik Kuningan,-6.2299368,106.826383,"Setia Budi, Kota Jakarta Selatan","dr. Dirk Amidi, Sp.JP - International SOS Medika Klinik Kuningan"
"dr. Djoko Maryono, Sp.PD, Sp.JP, FIHA, FACC",Siloam Hospitals - TB Simatupang,-6.2922669,106.7844429,"Cilandak, Kota Jakarta Selatan","dr. Djoko Maryono, Sp.PD, Sp.JP, FIHA, FACC - Siloam Hospitals - TB Simatupang"
"dr. Dolly Richard Daniel Kaunang, Sp.KP, Sp.JP, FIHA",RS Pondok Indah - Puri Indah,-6.1861878,106.7353522,"Kembangan, Kota Jakarta Barat","dr. Dolly Richard Daniel Kaunang, Sp.KP, Sp.JP, FIHA - RS Pondok Indah - Puri Indah"
"DR. dr. Doni Firman, Sp.JP(K)-FIHA",RS Pondok Indah - Pondok Indah,-6.2835829,106.781621,"Kebayoran Lama, Kota Jakarta Selatan","DR. dr. Doni Firman, Sp.JP(K)-FIHA - RS Pondok Indah - Pondok Indah"
"dr. Dono Antono, Sp.PD-KKV, FINASIM, FICA",RS Jantung Jakarta,-6.2002568,106.8553287,"Matraman, Kota Jakarta Timur","dr. Dono Antono, Sp.PD-KKV, FINASIM, FICA - RS Jantung Jakarta"
"dr. Dony Yugo Hermanto, Sp.JP(K)",RS Pusat Jantung Nasional Harapan Kita,-6.18553,106.7973115,"Palmerah, Kota Jakarta Barat","dr. Dony Yugo Hermanto, Sp.JP(K) - RS Pusat Jantung Nasional Harapan Kita"
"dr. Doro Soendoro, Sp.JP",RS Graha Kedoya,-6.1681398,106.7651526,"Kebon Jeruk, Kota Jakarta Barat","dr. Doro Soendoro, Sp.JP - RS Graha Kedoya"
"dr. Eddy Sunaryuniarto, Sp.JP",RS Muhammadiyah Taman Puring,-6.2417177,106.7875121,"Kebayoran Baru, Kota Jakarta Selatan","dr. Eddy Sunaryuniarto, Sp.JP - RS Muhammadiyah Taman Puring"
"dr. Eka Ginanjar, Sp.PD, KKV, FINASIM, FACP",RS Hermina Depok,-6.3999115,106.825183,"Pancoran Mas, Kota Depok","dr. Eka Ginanjar, Sp.PD, KKV, FINASIM, FACP - RS Hermina Depok"
"dr. Eko Antono, Sp.PD, Sp.JP(K)",RSUP Dr. Hasan Sadikin,-6.8981588,107.5983954,"Sukajadi, Kota Bandung","dr. Eko Antono, Sp.PD, Sp.JP(K) - RSUP Dr. Hasan Sadikin"
"dr. Elen, Sp.JP",RS Mayapada Tangerang,-6.208927,106.6378228,"Tangerang, Kota Tangerang","dr. Elen, Sp.JP - RS Mayapada Tangerang"
"dr. Elfrina Emran, Sp.JP, FIHA",RS Pusat Pertamina (RSPP),-6.2399349,106.7932011,"Kebayoran Baru, Kota Jakarta Selatan","dr. Elfrina Emran, Sp.JP, FIHA - RS Pusat Pertamina (RSPP)"
"dr. Elisa Feriyanti Pakpahan, Sp.JP",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Kota Jakarta Barat","dr. Elisa Feriyanti Pakpahan, Sp.JP - Siloam Hospitals Kebon Jeruk"
"dr. Emanoel Oepangat, Sp.JP, FIHA",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Emanoel Oepangat, Sp.JP, FIHA - Siloam Hospitals Lippo Village"
"dr. Emmanoel Oepangat, Sp.JP",Siloam Hospitals - TB Simatupang,-6.2922669,106.7844429,"Cilandak, Kota Jakarta Selatan","dr. Emmanoel Oepangat, Sp.JP - Siloam Hospitals - TB Simatupang"
"dr. Endang Ratnaningsih, Sp.JP",RS Bhakti Mulia,-6.199949,106.800768,"Palmerah, Kota Jakarta Barat","dr. Endang Ratnaningsih, Sp.JP - RS Bhakti Mulia"
"dr. Erika Maharani, Sp.JP(K)",RS Pusat Pertamina (RSPP),-6.2399349,106.7932011,"Kebayoran Baru, Kota Jakarta Selatan","dr. Erika Maharani, Sp.JP(K) - RS Pusat Pertamina (RSPP)"
"dr. Ermadji Prajinto, Sp.JP",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Ermadji Prajinto, Sp.JP - Siloam Hospitals Lippo Village"
"dr. Erwan Martanto, Sp.PD, Sp.JP(K)",RSIA Hermina Bekasi,-6.2416589,106.9947732,"Bekasi Selatan, Kota Bekasi","dr. Erwan Martanto, Sp.PD, Sp.JP(K) - RSIA Hermina Bekasi"
"dr. Erwin Surjana Setiawan, Sp.JP, FIHA",RS Mitra Keluarga Bekasi Timur,-6.2603214,107.012952,"Bekasi Timur, Kota Bekasi","dr. Erwin Surjana Setiawan, Sp.JP, FIHA - RS Mitra Keluarga Bekasi Timur"
"dr. Erwinanto, Sp.JP",RSUP Dr. Hasan Sadikin,-6.8981588,107.5983954,"Sukajadi, Kota Bandung","dr. Erwinanto, Sp.JP - RSUP Dr. Hasan Sadikin"
"dr. Esti Hindariati, Sp.JP",RS Mitra Keluarga Bekasi Timur,-6.2603214,107.012952,"Bekasi Timur, Kota Bekasi","dr. Esti Hindariati, Sp.JP - RS Mitra Keluarga Bekasi Timur"
"dr. Estu Rudiktyo, Sp.JP",RSIA Puri Medika,-5.9994441713550595,113.71551751063463,"Tanjung Priok, Kota Jakarta Utara","dr. Estu Rudiktyo, Sp.JP - RSIA Puri Medika"
"dr. Fachmi Ahmad Muslim, Sp.JP, FIHA",RS Awal Bros Bekasi Barat,-6.2312623,106.9598493,"Bekasi Selatan, Kota Bekasi","dr. Fachmi Ahmad Muslim, Sp.JP, FIHA - RS Awal Bros Bekasi Barat"
"dr. Fadhil Pratama Apriansyah, Sp.JP",RS Sari Asih Ciputat,-6.3253257,106.7443307,"Ciputat, Kota Tangerang Selatan","dr. Fadhil Pratama Apriansyah, Sp.JP - RS Sari Asih Ciputat"
"dr. Faisal Baraas, Sp.JP",RS Mediros,-6.1798747,106.9037209,"Pulo Gadung, Kota Jakarta Timur","dr. Faisal Baraas, Sp.JP - RS Mediros"
